LotFrontage,LotArea,LotShape,MasVnrType,MasVnrArea,BsmtExposure,BsmtFinSF1,BsmtUnfSF,HeatingQC,CentralAir,X1stFlrSF,X2ndFlrSF,BedroomAbvGr,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageCars,GarageArea,WoodDeckSF,PoolQC,TotBathrooms,TotalPorchSF,Remod,Age,TotalSqFeet,GarageScore,BsmtScore,OverallScore,SalePrice,MSSubClass1 story 1946+,MSSubClass1 story 1945-,MSSubClass1,5 story fin,MSSubClass2 story 1946+,MSSubClass2 story 1945-,MSSubClass2,5 story all ages,MSSubClasssplit/multi level,MSSubClasssplit foyer,MSSubClassduplex all style/age,MSSubClass1 story PUD 1946+,MSSubClass2 story PUD 1946+,MSSubClass2 family conversion,MSZoningFV,MSZoningRH,MSZoningRL,MSZoningRM,LotConfigCulDSac,LotConfigFR2,LotConfigInside,NeighborhoodBrDale,NeighborhoodBrkSide,NeighborhoodClearCr,NeighborhoodCollgCr,NeighborhoodCrawfor,NeighborhoodEdwards,NeighborhoodGilbert,NeighborhoodIDOTRR,NeighborhoodMeadowV,NeighborhoodMitchel,NeighborhoodNAmes,NeighborhoodNoRidge,NeighborhoodNridgHt,NeighborhoodNWAmes,NeighborhoodOldTown,NeighborhoodSawyer,NeighborhoodSawyerW,NeighborhoodSomerst,NeighborhoodStoneBr,NeighborhoodSWISU,NeighborhoodTimber,BldgType2fmCon,BldgTypeDuplex,BldgTypeTwnhs,BldgTypeTwnhsE,HouseStyle1Story,HouseStyle2Story,HouseStyleSFoyer,HouseStyleSLvl,RoofStyleGable,RoofStyleHip,Exterior1stBrkFace,Exterior1stCemntBd,Exterior1stHdBoard,Exterior1stMetalSd,Exterior1stPlywood,Exterior1stStucco,Exterior1stVinylSd,Exterior1stWd Sdng,Exterior1stWdShing,Exterior2ndBrkFace,Exterior2ndCmentBd,Exterior2ndHdBoard,Exterior2ndMetalSd,Exterior2ndPlywood,Exterior2ndStucco,Exterior2ndVinylSd,Exterior2ndWd Sdng,Exterior2ndWd Shng,ExterQualGd,ExterQualTA,FoundationCBlock,FoundationPConc,FoundationSlab,GarageTypeAttchd,GarageTypeBasment,GarageTypeBuiltIn,GarageTypeDetchd,GarageTypeNo Garage,FenceGdWo,FenceMnPrv,FenceNone,SaleTypeNew,SaleTypeWD
-0.191781874,-0.217841368,0.701779516,0.814627472,0.52894354,-0.585595914,0.581045861,-0.934004783,0.885467615,0.268243873,-0.773728458,1.207171718,0.169897979,0.738808483,0.238876752,-0.978662785,0.315926098,0.306987166,0.349303768,-0.740633511,-0.062518131,1.584494658,-0.261807309,-0.933196337,-0.886856646,0.017149584,0.276188434,0.448621631,0.202256754,12.24769432,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
0.511852227,-0.072031741,0.701779516,-0.728459868,-0.566918816,2.221225882,1.178052906,-0.6291759,0.885467615,0.268243873,0.261030052,-0.784890564,0.169897979,-0.771402975,0.238876752,0.681897185,0.315926098,0.306987166,-0.05898129,1.614602662,-0.062518131,0.348156805,-0.827130887,-0.933196337,0.357635224,-0.034958391,0.276188434,0.448621631,1.370184479,12.10901093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
-0.051055054,0.137173376,-1.052068435,0.814627472,0.338844968,0.350011351,0.098172517,-0.287949537,0.885467615,0.268243873,-0.610613816,1.235163226,0.169897979,0.738808483,0.238876752,0.681897185,0.315926098,0.306987166,0.627679944,-0.740633511,-0.062518131,1.584494658,-0.437891702,1.071218753,-0.838991574,0.190842832,0.276188434,0.448621631,0.202256754,12.31716669,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
-0.426326575,-0.07837129,-1.052068435,-0.728459868,-0.566918816,-0.585595914,-0.49444477,-0.046816241,-0.158425749,0.268243873,-0.506118498,0.978574407,0.169897979,0.738808483,0.238876752,1.235417175,-0.799174603,1.61898649,0.785426443,-0.740633511,-0.062518131,-0.270012121,2.018022203,1.071218753,0.596960584,-0.09823236,0.276188434,0.448621631,0.202256754,11.8493977,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0.699487988,0.518814227,-1.052068435,0.814627472,1.389978248,1.285618617,0.469107041,-0.160558362,0.885467615,0.268243873,-0.037163903,1.671364217,1.385418079,0.738808483,0.238876752,0.681897185,0.315926098,1.61898649,1.685509412,0.77683409,-0.062518131,1.584494658,-0.048652517,-0.933196337,-0.74326143,0.981147113,0.276188434,0.448621631,0.786220617,12.4292162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
0.746396928,0.500429535,-1.052068435,-0.728459868,-0.566918816,-0.585595914,0.638112711,-1.129641231,0.885467615,0.268243873,-0.926648435,0.535375539,-2.261142221,-0.771402975,0.238876752,-0.978662785,-0.799174603,0.306987166,0.033810769,-0.424494428,-0.062518131,0.348156805,2.416528988,1.071218753,-0.456070999,-0.489042169,0.276188434,0.448621631,-0.965670971,11.87059991,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
0.277307527,-0.010664907,0.701779516,2.357714813,0.473032195,1.285618617,2.036250532,-0.5541061,0.885467615,0.268243873,1.362053886,-0.784890564,0.169897979,0.738808483,0.238876752,1.235417175,0.315926098,0.306987166,0.757588826,1.274753147,-0.062518131,0.966325732,-0.298877707,1.071218753,-1.030451862,1.027051757,0.276188434,1.197778691,0.786220617,12.63460303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
-0.051055054,0.027118805,-1.052068435,2.357714813,0.774953457,0.350011351,0.916862324,-0.783865184,0.885467615,0.268243873,-0.134013221,1.508080424,0.169897979,-0.771402975,0.238876752,0.681897185,0.315926098,0.306987166,0.05236918,1.116683605,-0.062518131,1.584494658,3.176472158,-0.933196337,0.596960584,0.800009868,0.276188434,0.448621631,0.786220617,12.20607265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
-0.848507036,-0.513264353,0.701779516,-0.728459868,-0.566918816,-0.585595914,-0.968538599,0.890418834,-0.158425749,0.268243873,-0.350649855,0.969243905,-1.045622121,-0.771402975,-1.314088148,0.681897185,-0.799174603,0.306987166,-0.021864467,-0.029320573,-0.062518131,-0.270012121,1.07272704,1.071218753,1.649992166,0.215656153,-0.435368529,-0.300535429,0.202256754,11.7745202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
-0.895415976,-0.348436078,0.701779516,-0.728459868,-0.566918816,-0.585595914,0.899303293,-0.956753208,0.885467615,0.268243873,-0.21047321,-0.784890564,-1.045622121,-0.771402975,0.238876752,0.681897185,0.315926098,-1.005012158,-1.242080037,-0.740633511,-0.062518131,-0.270012121,-0.790060488,1.071218753,1.649992166,-0.600702115,0.987745397,-0.300535429,-0.381707109,11.6784399,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0.042762826,0.130833827,0.701779516,-0.728459868,-0.566918816,-0.585595914,1.020021629,-0.970402262,0.885467615,0.268243873,-0.304773862,-0.784890564,0.169897979,-0.771402975,0.238876752,-0.978662785,-0.799174603,-1.005012158,-0.411591113,-0.740633511,-0.062518131,-0.270012121,-0.827130887,-0.933196337,0.932016087,-0.585814122,0.276188434,-0.300535429,-0.965670971,11.77143616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
