Id,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice
1461,120747.521,115815.4441,124335.5942,118025.6662,119207.5468,117608.9743,116215.5761,118087.3592
1462,163938.3642,148792.3848,170243.2991,158991.7591,181282.0985,147701.9485,148274.8808,156547.829
1463,184791.8293,170460.9749,191422.6472,185244.3642,176256.9543,168986.3174,169640.669,177642.6524
1464,180442.988,197415.2119,190810.6085,198123.5728,165195.434,194356.6035,195578.9992,193219.3728
1465,197772.8214,200562.5393,190760.2091,181992.5953,200380.0242,198837.6966,199465.2141,189613.3717
1466,181246.616,171070.2829,174078.3462,172123.3311,165649.4621,171123.6932,170914.2432,171139.9679
1467,174585.31,187368.423,181542.889,183050.381,165277.7591,186579.7153,186719.5525,182708.9429
1468,175408.1835,171018.2418,167335.4463,163529.8252,165649.4621,169430.7609,170139.6388,166016.1417
1469,184974.5241,186071.2457,187948.7716,189503.0352,193813.0349,184375.1907,185246.3984,188088.5479
1470,122327.6354,125056.9947,122955.8529,129890.555,126327.1112,127147.1907,126384.3792,127780.9981
1471,207338.695,175896.1133,189896.7609,172886.8131,205633.547,173859.1447,174027.6018,176049.8074
1472,89254.38912,99455.90336,94087.2413,104213.7253,103073.2564,100367.3421,99961.17177,102940.5011
1473,97779.14408,94582.7721,97505.98026,101228.1997,109124.4238,94686.07034,94623.52103,99410.45413
1474,151765.571,143499.5329,147418.0459,145969.6248,158738.7444,144163.9849,142803.6223,146315.8145
1475,111322.8227,116311.1511,118099.7694,128566.7572,112054.4479,118521.5531,116582.5896,123046.6959
1476,355371.4302,338998.0607,373896.6335,358105.1545,336916.0726,339676.4026,336434.0345,349257.9196
1477,245136.2671,247261.5556,242796.1992,250771.3307,239747.6944,249334.6464,248421.7914,249352.5279
1478,283082.1353,303868.9904,281041.866,280149.5229,273632.9644,305750.2905,306053.7769,289100.1229
1479,271732.739,292148.1333,248370.0705,296134.8044,330340.0854,296299.2543,294979.7481,299267.6125
1480,484828.8251,447286.63,511746.7026,451307.4033,380417.8113,446891.3965,447541.4027,442555.2533
1481,324734.9747,345748.1348,369661.8587,344636.4182,334860.3539,345055.3474,345187.4628,344153.5411
1482,202593.2556,223892.1089,194620.4061,201497.9567,212116.6987,220156.7431,222306.6412,209245.9389
1483,197723.7886,171552.3206,179650.2673,184547.5735,201289.7841,171522.1172,171709.8764,180841.7362
1484,165665.23,168954.9704,169029.6461,169772.5247,156403.0092,170822.0967,169130.1364,168629.2707
1485,169104.8881,194718.885,182716.0019,184366.4957,145711.8462,197339.496,196533.6421,185003.3525
1486,201762.2697,196770.2228,198860.9771,192836.5138,199498.6202,194116.078,195171.4474,193511.6333
1487,359924.6126,336562.9188,323285.0715,320727.0279,344115.5009,341220.1612,338843.0065,330538.5417
1488,245857.4908,239125.5818,226309.8633,238417.1525,240175.9409,238314.4555,238635.4553,238881.2048
1489,193869.3745,194892.0154,201347.3237,195065.473,156403.0092,197386.3257,196267.385,191709.5964
1490,226389.565,235374.0353,225683.3263,233415.2161,210318.469,242944.9683,239459.1415,234723.801
1491,184739.3938,194776.1774,189206.3992,193010.9863,170391.7407,195618.5716,195945.6094,191955.8867
1492,107828.6657,91534.20625,90262.69631,85803.23683,113937.1045,94741.49483,93170.95553,91397.00478
1493,180489.6507,199272.7765,191227.5955,187134.708,172076.7529,204569.1547,201283.8583,192090.882
1494,291308.886,302736.6295,304769.1242,287700.167,303603.2634,310560.1811,303312.5239,298531.2676
1495,299818.0101,290449.359,291616.4623,287577.259,317339.6689,289642.0858,288985.5502,291391.0707
